ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
465563,Male,Yes,59,Yes,Entertainment,1.0,Average,5.0,Cat_3,B
466136,Female,No,19,Yes,Artist,0.0,Low,2.0,Cat_6,A
466485,Male,Yes,37,Yes,Executive,9.0,High,2.0,Cat_3,A
464936,Male,No,28,No,,1.0,Low,1.0,Cat_4,D
463025,Male,Yes,40,No,Executive,7.0,Low,4.0,Cat_6,A
461163,Female,Yes,60,No,Entertainment,9.0,Low,4.0,Cat_3,B
467883,Female,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
463382,Female,Yes,50,Yes,Engineer,4.0,High,3.0,Cat_6,B
460414,Female,No,33,Yes,Healthcare,0.0,Low,1.0,Cat_6,D
466443,Female,Yes,68,Yes,Artist,4.0,Low,2.0,Cat_6,B
460633,Male,Yes,37,Yes,,,High,2.0,Cat_3,A
466102,Female,No,33,No,Healthcare,1.0,Low,6.0,Cat_3,C
461567,Male,Yes,51,No,Entertainment,7.0,Average,3.0,Cat_6,C
460479,Female,No,42,No,Doctor,8.0,Low,1.0,Cat_3,A
461785,Female,Yes,87,Yes,Artist,1.0,Average,2.0,Cat_6,C
463052,Male,Yes,37,Yes,Marketing,1.0,Low,2.0,Cat_6,D
467904,Female,No,25,Yes,Artist,13.0,Low,1.0,Cat_6,A
459161,Male,Yes,51,Yes,Executive,3.0,High,5.0,Cat_6,C
464787,Male,No,47,No,Entertainment,1.0,Low,1.0,Cat_4,A
460844,Male,Yes,51,Yes,Healthcare,,Low,2.0,Cat_6,A
460833,Male,Yes,30,Yes,Healthcare,0.0,Low,2.0,Cat_6,A
459529,Female,Yes,89,No,Lawyer,1.0,High,2.0,Cat_6,A
460512,Female,Yes,43,Yes,Engineer,0.0,High,4.0,Cat_3,A
461170,Female,No,40,No,Engineer,0.0,Low,3.0,Cat_3,A
462544,Male,Yes,30,Yes,Entertainment,,Average,3.0,Cat_4,D
459292,Male,No,46,Yes,Artist,1.0,Low,2.0,Cat_6,C
465923,Female,No,30,Yes,Engineer,9.0,Low,5.0,Cat_6,D
461262,Female,No,27,No,Engineer,1.0,Low,7.0,Cat_4,A
464408,Female,Yes,45,Yes,Artist,,Average,4.0,Cat_4,C
459858,Female,No,31,No,Healthcare,8.0,Low,4.0,Cat_6,D
466038,Female,No,27,No,Homemaker,9.0,Low,1.0,Cat_4,A
467741,Male,No,21,No,Healthcare,1.0,Low,3.0,Cat_4,D
460339,Female,Yes,50,Yes,Entertainment,4.0,Low,2.0,Cat_6,A
466890,Male,Yes,47,Yes,Artist,0.0,Average,6.0,Cat_7,B
467402,Female,No,28,Yes,Artist,5.0,Low,4.0,Cat_6,D
461789,Male,Yes,67,Yes,Executive,1.0,High,2.0,Cat_6,C
460434,Male,,57,Yes,Artist,3.0,High,3.0,Cat_6,D
459453,Male,Yes,88,Yes,Lawyer,,Low,,Cat_6,B
467557,Female,Yes,58,Yes,Artist,,Average,2.0,Cat_6,C
467325,Female,Yes,72,Yes,Lawyer,1.0,High,2.0,Cat_6,B
459952,Female,No,35,Yes,Entertainment,7.0,Low,2.0,Cat_6,A
467256,Male,No,33,No,Healthcare,0.0,Low,4.0,Cat_2,B
463216,Male,No,30,Yes,Artist,8.0,Low,1.0,Cat_6,A
466432,Male,No,42,Yes,Entertainment,1.0,Low,1.0,Cat_7,A
464007,Male,Yes,49,Yes,Artist,0.0,Low,3.0,Cat_6,B
466822,Female,Yes,42,Yes,Entertainment,0.0,Average,4.0,Cat_3,B
462358,Male,Yes,37,No,Doctor,4.0,Average,2.0,Cat_6,A
467348,Female,Yes,33,Yes,Homemaker,,Average,3.0,Cat_6,D
462829,Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6,D
465425,Female,No,31,No,Engineer,1.0,Low,4.0,Cat_6,B
462604,Female,Yes,38,No,Doctor,1.0,Average,3.0,Cat_4,A
461292,Female,Yes,81,No,Lawyer,,High,2.0,Cat_3,D
459961,Male,Yes,51,Yes,Artist,8.0,Low,3.0,Cat_2,A
459901,Male,Yes,47,Yes,Artist,0.0,Average,3.0,Cat_6,C
464573,Female,Yes,39,Yes,Artist,7.0,Average,3.0,Cat_6,B
460763,Male,No,47,Yes,Artist,1.0,Low,2.0,Cat_6,B
460290,Female,,50,Yes,Artist,,High,1.0,,B
460541,Female,Yes,36,Yes,Homemaker,1.0,Average,3.0,Cat_3,D
466252,Female,Yes,73,No,Executive,0.0,Low,3.0,Cat_4,B
459896,Female,Yes,40,Yes,Artist,9.0,Low,2.0,Cat_6,C
460481,Male,No,25,Yes,Entertainment,1.0,Low,2.0,Cat_3,B
467803,Female,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_6,B
462410,Female,No,32,No,Healthcare,1.0,Low,5.0,Cat_7,B
463485,Female,No,25,No,Engineer,,Low,3.0,Cat_6,D
461844,Male,Yes,51,No,Artist,2.0,Average,4.0,Cat_7,C
463482,Male,No,41,No,Engineer,9.0,Low,7.0,Cat_4,C
462741,Female,No,26,Yes,Artist,2.0,Low,2.0,Cat_6,A
467011,Female,Yes,77,Yes,Lawyer,,High,2.0,Cat_6,B
465087,Male,No,29,Yes,Doctor,1.0,Low,4.0,Cat_6,B
462253,Male,Yes,51,Yes,Engineer,0.0,Low,2.0,Cat_4,A
464182,Male,Yes,35,Yes,Artist,4.0,Average,2.0,Cat_2,C
463674,Female,No,25,Yes,Engineer,0.0,Low,7.0,Cat_4,C
463949,Male,Yes,51,No,Executive,0.0,High,4.0,Cat_7,B
465068,Male,Yes,42,Yes,Artist,3.0,Average,4.0,Cat_6,B
466025,Female,No,50,No,Engineer,1.0,Low,1.0,Cat_3,A
460289,Female,Yes,60,Yes,Artist,2.0,Average,6.0,Cat_4,C
463683,Female,Yes,39,Yes,Artist,14.0,Average,2.0,Cat_6,B
466364,Female,Yes,52,Yes,Artist,1.0,Low,3.0,Cat_2,C
460694,Female,Yes,53,No,Engineer,3.0,Low,1.0,Cat_6,A
467261,Female,Yes,77,Yes,Lawyer,0.0,High,2.0,Cat_6,C
464330,Male,No,38,Yes,Artist,,Low,2.0,Cat_6,A
465088,Male,Yes,48,Yes,Executive,9.0,High,4.0,Cat_6,B
462702,Male,Yes,51,No,Entertainment,1.0,Average,4.0,Cat_4,A
464436,Male,Yes,88,Yes,Lawyer,0.0,High,2.0,Cat_4,A
460371,Female,No,28,Yes,Artist,1.0,Low,2.0,Cat_6,C
467280,Female,No,28,No,Entertainment,10.0,Low,2.0,Cat_6,D
464557,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,D
465848,Female,No,28,Yes,Healthcare,0.0,Low,1.0,Cat_7,D
461486,Male,Yes,59,No,Entertainment,8.0,Average,3.0,Cat_6,C
465722,Male,Yes,47,No,,1.0,Low,5.0,Cat_3,A
464096,Female,No,31,No,Healthcare,1.0,Low,5.0,Cat_4,C
459694,Male,Yes,77,No,Lawyer,0.0,Low,,Cat_6,D
461330,Male,Yes,60,No,Executive,0.0,High,2.0,Cat_6,C
463942,Male,No,26,No,Healthcare,0.0,Low,4.0,Cat_4,D
466077,Male,Yes,35,Yes,Doctor,9.0,High,3.0,Cat_6,A
467621,Male,Yes,76,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
464848,Male,Yes,35,No,Entertainment,1.0,Average,4.0,Cat_4,B
460310,Male,No,32,No,Healthcare,12.0,Low,4.0,Cat_6,D
462332,Female,Yes,37,Yes,Artist,1.0,High,2.0,Cat_7,A
459281,Male,Yes,41,Yes,Artist,0.0,Low,2.0,Cat_6,B
461123,Male,No,20,No,Healthcare,2.0,Low,4.0,Cat_4,D
460272,Female,No,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,A
465236,Male,Yes,47,Yes,Artist,0.0,Low,1.0,Cat_6,C
461108,Male,No,21,No,Healthcare,1.0,Low,4.0,Cat_3,D
464339,Male,No,26,No,Artist,0.0,Low,2.0,Cat_6,D
459151,Male,Yes,60,Yes,Lawyer,9.0,Low,2.0,Cat_6,B
459841,Male,Yes,56,Yes,Healthcare,,High,3.0,Cat_6,B
461742,Male,Yes,87,Yes,Executive,1.0,High,2.0,Cat_6,C
466796,Male,,56,Yes,Artist,0.0,Average,5.0,Cat_6,A
463287,Male,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_2,C
463614,Female,No,26,No,Healthcare,1.0,Low,4.0,Cat_3,C
463728,Female,Yes,30,No,Doctor,1.0,Average,6.0,Cat_6,B
466074,Female,No,29,No,Engineer,9.0,Low,2.0,Cat_4,A
459804,Male,Yes,45,No,Artist,3.0,High,4.0,Cat_6,C
467465,Male,No,19,No,Healthcare,,Low,6.0,Cat_6,D
461289,Male,No,22,No,Healthcare,0.0,Low,3.0,Cat_6,D
459983,Female,Yes,50,Yes,Artist,2.0,Low,1.0,Cat_6,B
467104,Female,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,D
464827,Female,Yes,46,No,Entertainment,9.0,Average,5.0,Cat_4,D
459398,Female,Yes,60,No,Lawyer,,High,2.0,Cat_6,C
464523,Female,No,30,Yes,Healthcare,13.0,Low,,Cat_6,D
460128,Male,Yes,25,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
463389,Female,Yes,50,Yes,Artist,0.0,Average,2.0,Cat_3,C
463091,Female,Yes,39,Yes,Homemaker,8.0,Low,1.0,Cat_6,D
464217,Female,No,32,No,Healthcare,12.0,Low,3.0,Cat_6,A
459486,Male,Yes,75,Yes,Lawyer,,High,2.0,Cat_6,A
467800,Female,Yes,53,Yes,Artist,8.0,Average,3.0,Cat_6,C
459150,Female,No,49,Yes,Doctor,0.0,Low,1.0,Cat_6,A
461889,Male,Yes,42,Yes,Artist,2.0,Average,2.0,Cat_6,C
467603,Male,Yes,71,Yes,Lawyer,1.0,High,2.0,Cat_6,C
467567,Male,No,27,Yes,Healthcare,1.0,Low,5.0,Cat_6,D
467470,Male,Yes,53,Yes,Engineer,1.0,Average,3.0,Cat_6,B
463971,Female,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,C
464155,Male,No,41,No,Doctor,0.0,Low,3.0,Cat_4,B
464729,Male,No,36,No,Marketing,,Low,4.0,Cat_4,D
464427,Male,Yes,62,Yes,Doctor,1.0,Average,4.0,Cat_3,C
466530,Male,No,21,No,Healthcare,1.0,Low,4.0,,D
459223,Female,Yes,47,Yes,Doctor,1.0,Average,4.0,Cat_6,C
463673,Male,No,33,Yes,Healthcare,,Low,5.0,Cat_6,B
467918,Male,Yes,48,Yes,Artist,7.0,Average,2.0,Cat_6,C
462595,Female,No,29,Yes,Artist,7.0,Low,7.0,Cat_4,D
460098,Female,Yes,62,Yes,Engineer,1.0,Low,1.0,Cat_3,B
465278,Male,Yes,38,No,Marketing,,High,4.0,Cat_7,C
461306,Male,No,21,No,Doctor,,Low,4.0,Cat_6,C
460117,Female,Yes,48,Yes,Marketing,9.0,Low,1.0,Cat_6,D
467043,Male,No,53,Yes,Entertainment,4.0,Low,1.0,Cat_6,A
459536,Male,Yes,32,Yes,Healthcare,6.0,Low,2.0,Cat_6,D
463081,Female,Yes,51,Yes,Artist,0.0,Low,1.0,Cat_6,B
467306,Female,Yes,58,Yes,Artist,0.0,Average,5.0,Cat_6,C
462727,Female,Yes,81,No,Lawyer,0.0,High,2.0,Cat_6,A
463776,Female,Yes,39,Yes,Artist,3.0,Average,2.0,Cat_6,C
465549,Female,No,52,Yes,Healthcare,0.0,Low,1.0,Cat_3,D
462937,Female,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6,C
466093,Male,No,52,Yes,Entertainment,1.0,Low,5.0,Cat_4,B
465621,Male,No,42,Yes,Doctor,8.0,Low,1.0,Cat_6,C
465652,Female,Yes,31,No,Marketing,0.0,Low,2.0,Cat_2,D
461355,Female,No,38,Yes,Healthcare,0.0,Low,2.0,Cat_6,D
459528,Female,Yes,52,Yes,Doctor,0.0,Average,2.0,Cat_6,C
459700,Male,Yes,37,Yes,Executive,0.0,Average,5.0,Cat_6,B
467956,Female,No,31,Yes,Entertainment,1.0,Low,1.0,Cat_6,B
462634,Female,Yes,43,No,Artist,0.0,Average,3.0,Cat_4,A
466513,Female,Yes,55,Yes,Artist,1.0,Average,3.0,Cat_6,B
459440,Female,No,53,Yes,Artist,1.0,Low,1.0,Cat_6,B
466162,Female,Yes,73,Yes,Doctor,0.0,Low,1.0,Cat_4,B
464390,Male,Yes,41,Yes,Artist,1.0,Low,2.0,Cat_6,C
466574,Male,Yes,59,Yes,Artist,7.0,Low,2.0,Cat_6,C
461849,Male,No,32,No,Healthcare,0.0,Low,4.0,Cat_6,A
460886,Male,No,37,Yes,Artist,0.0,Low,1.0,Cat_6,B
459456,Female,No,65,No,Lawyer,,Low,1.0,Cat_6,D
464521,Male,No,26,No,Doctor,2.0,Low,4.0,Cat_6,B
461456,Female,No,40,No,Marketing,0.0,Low,1.0,Cat_6,A
461519,Male,No,35,No,Doctor,,Low,3.0,Cat_4,A
462750,Male,No,22,No,Healthcare,9.0,Low,8.0,Cat_6,D
466306,Male,No,18,No,Healthcare,1.0,Low,4.0,Cat_6,D
460482,Female,Yes,30,No,Homemaker,9.0,Low,3.0,Cat_3,B
466781,Male,Yes,35,Yes,Artist,1.0,Average,4.0,Cat_3,A
465610,Female,No,42,Yes,Artist,8.0,Low,2.0,Cat_6,C
464964,Female,Yes,71,No,Artist,,High,2.0,Cat_4,B
460617,Female,No,22,No,Healthcare,0.0,Low,4.0,Cat_3,D
460546,Female,Yes,71,Yes,Lawyer,1.0,Low,2.0,Cat_3,C
460674,Female,No,31,Yes,Entertainment,0.0,Low,3.0,Cat_3,A
461913,Male,No,37,Yes,Entertainment,6.0,Low,4.0,Cat_2,A
463340,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_3,D
466591,Female,No,23,No,Healthcare,0.0,Low,4.0,Cat_6,D
463748,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_6,D
467045,Male,Yes,51,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
462128,Male,Yes,38,Yes,Artist,9.0,Average,2.0,Cat_6,C
461555,Male,No,27,No,Entertainment,,Low,1.0,Cat_6,D
467098,Male,Yes,87,No,Executive,1.0,Low,2.0,Cat_6,A
467808,Female,Yes,63,Yes,Artist,0.0,Average,2.0,Cat_6,C
463927,Female,No,53,Yes,Engineer,1.0,Low,2.0,Cat_6,A
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
464189,Female,No,42,Yes,Artist,1.0,Low,2.0,Cat_6,A
467555,Male,No,27,No,Entertainment,14.0,Low,3.0,Cat_6,D
467785,Male,Yes,43,No,Artist,1.0,Low,2.0,Cat_6,B
461636,Male,No,46,Yes,Artist,3.0,Low,1.0,Cat_6,C
460452,Female,Yes,37,Yes,Entertainment,0.0,Average,2.0,Cat_1,B
463592,Female,No,27,Yes,Engineer,11.0,Low,1.0,Cat_6,B
464815,Male,Yes,22,No,Doctor,2.0,High,9.0,Cat_4,B
466536,Male,No,20,No,Healthcare,4.0,Low,4.0,Cat_4,D
459569,Male,No,32,Yes,Healthcare,,Low,1.0,Cat_6,D
465644,Male,No,33,Yes,Healthcare,0.0,Low,5.0,Cat_6,C
467699,Female,Yes,32,Yes,Doctor,0.0,Average,2.0,Cat_4,C
466315,Female,Yes,67,Yes,Engineer,1.0,Low,1.0,Cat_6,B
461261,Female,No,29,No,Artist,0.0,Low,3.0,Cat_4,A
462258,Male,No,25,No,Doctor,1.0,Low,4.0,Cat_6,D
465780,Female,No,23,No,Healthcare,1.0,Low,4.0,Cat_6,D
459619,Female,Yes,56,Yes,Doctor,0.0,Low,2.0,Cat_6,D
464754,Female,Yes,43,No,Engineer,4.0,Average,7.0,Cat_4,A
461429,Male,Yes,49,Yes,Doctor,1.0,Average,4.0,Cat_6,C
463508,Female,Yes,31,No,Artist,0.0,Low,3.0,Cat_6,A
462539,Female,Yes,77,No,Lawyer,1.0,Low,1.0,Cat_6,A
466193,Male,Yes,84,No,Lawyer,0.0,Low,1.0,Cat_6,A
462537,Male,No,78,Yes,Entertainment,,Low,1.0,Cat_6,C
459329,Female,Yes,71,No,Engineer,1.0,High,4.0,Cat_3,A
465507,Male,Yes,43,Yes,Artist,8.0,Low,1.0,Cat_6,B
462882,Male,Yes,41,Yes,Homemaker,2.0,Average,3.0,Cat_3,B
465101,Female,Yes,88,Yes,Lawyer,1.0,Low,1.0,Cat_6,D
459805,Female,Yes,45,No,Artist,4.0,Average,4.0,Cat_6,B
462757,Male,No,20,No,Healthcare,1.0,Low,3.0,Cat_6,D
465260,Female,No,22,No,Healthcare,8.0,Low,6.0,Cat_6,D
464000,Female,No,32,No,Healthcare,0.0,Low,5.0,Cat_7,C
461241,Male,Yes,32,Yes,Healthcare,5.0,Low,2.0,Cat_6,D
466222,Male,Yes,51,No,Executive,5.0,Low,3.0,Cat_2,C
464780,Female,No,32,No,Engineer,1.0,Low,9.0,Cat_4,D
463335,Male,No,27,Yes,Doctor,,Low,1.0,Cat_4,A
467707,Male,Yes,82,Yes,Lawyer,5.0,High,2.0,Cat_6,A
461253,Female,No,18,No,Healthcare,0.0,Low,5.0,Cat_4,D
467608,Male,No,32,Yes,Engineer,6.0,Low,1.0,Cat_6,D
461650,Female,Yes,42,Yes,Doctor,0.0,Low,1.0,Cat_4,B
459331,Female,No,70,Yes,Lawyer,0.0,Low,1.0,Cat_6,D
465514,Male,No,27,Yes,Entertainment,1.0,Low,5.0,Cat_4,D
465247,Male,No,18,No,Healthcare,6.0,Low,7.0,Cat_6,D
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
459062,Male,,48,Yes,Executive,,High,5.0,Cat_6,B
465997,Female,No,33,No,Doctor,1.0,Low,3.0,Cat_6,D
466178,Female,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,C
464881,Male,Yes,59,Yes,Entertainment,0.0,Low,,Cat_4,C
462068,Male,Yes,55,Yes,Executive,1.0,High,3.0,Cat_6,C
459527,Male,Yes,46,Yes,Artist,1.0,Average,4.0,Cat_6,B
466878,Male,Yes,38,No,Artist,8.0,High,5.0,Cat_6,A
465325,Female,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,B
466434,Male,Yes,53,Yes,Artist,0.0,Average,4.0,Cat_6,B
459146,Male,Yes,69,Yes,Artist,1.0,Low,2.0,Cat_6,A
462797,Male,Yes,30,Yes,Healthcare,0.0,Low,4.0,Cat_6,A
459154,Male,Yes,88,Yes,Lawyer,0.0,High,2.0,Cat_6,A
465235,Male,Yes,46,Yes,Healthcare,1.0,High,3.0,Cat_6,C
467384,Male,No,42,Yes,,,Low,1.0,Cat_6,D
466218,Female,,22,No,Healthcare,5.0,Low,4.0,Cat_2,D
467875,Female,No,23,No,Healthcare,,Low,4.0,Cat_6,D
466395,Female,Yes,37,Yes,Doctor,2.0,High,2.0,Cat_4,A
463018,Female,No,40,Yes,Homemaker,9.0,Low,1.0,Cat_6,D
463334,Female,No,33,Yes,Doctor,0.0,Low,6.0,Cat_4,C
462306,Male,Yes,79,No,Lawyer,8.0,High,2.0,Cat_6,A
466124,Female,No,47,Yes,Artist,0.0,Low,1.0,Cat_6,B
463858,Male,Yes,37,No,Artist,0.0,Average,2.0,Cat_6,C
459752,Female,Yes,63,Yes,,,Average,3.0,Cat_6,B
462516,Female,No,28,No,Engineer,,Low,3.0,Cat_6,D
459383,Male,Yes,36,No,Engineer,0.0,Low,1.0,Cat_6,D
467127,Male,Yes,70,No,Lawyer,,Low,1.0,Cat_6,D
464236,Female,Yes,62,Yes,Artist,1.0,High,2.0,Cat_6,B
463395,Male,No,31,No,Marketing,,Low,1.0,Cat_6,B
463366,Male,Yes,71,No,Lawyer,0.0,Low,5.0,Cat_3,D
458997,Male,Yes,61,Yes,Artist,1.0,Average,2.0,Cat_6,B
466356,Male,Yes,46,Yes,Artist,0.0,Low,2.0,Cat_6,C
459903,Male,Yes,27,Yes,Entertainment,9.0,Low,4.0,Cat_6,C
463895,Female,Yes,70,No,Doctor,0.0,Average,2.0,Cat_6,B
